,Precision,F2 Score,Recall,G-mean,Sampling Size
0,0.2676056338028169,0.10248112189859764,0.08878504672897196,0.29568757136212476,0.1
1,0.29381443298969073,0.10318609703113685,0.08878504672897196,0.29596627978842455,0.2
2,0.28169014084507044,0.10787486515641855,0.09345794392523364,0.3034142149267351,0.3
3,0.26956521739130435,0.11079342387419586,0.09657320872274143,0.30820002552712306,0.4
4,0.26521739130434785,0.10900643316654753,0.09501557632398754,0.3056892462746134,0.5
5,0.2581967213114754,0.1120199146514936,0.09813084112149532,0.3104748078317041,0.6
6,0.24770642201834864,0.09691313711414215,0.08411214953271028,0.2876868507007328,0.7
7,0.27312775330396477,0.110912343470483,0.09657320872274143,0.3082459672469172,0.8
8,0.24497991967871485,0.10827121050763223,0.09501557632398754,0.30540046581591046,0.9
9,0.24793388429752067,0.10676156583629892,0.09345794392523364,0.30297731148835294,1.0
