,Precision,F2 Score,Recall,G-mean,Sampling Size
0,0.4166666666666667,0.009689922480620155,0.00778816199376947,0.08822036528299593,0.1
1,0.4,0.01928268414963363,0.01557632398753894,0.12471361113690232,0.2
2,0.2826086956521739,0.02486610558530987,0.020249221183800622,0.14207005706856665,0.3
3,0.32075471698113206,0.03243037008775276,0.0264797507788162,0.16243942534097983,0.4
4,0.27692307692307694,0.034181541967337636,0.028037383177570093,0.16705858306498053,0.5
5,0.2878787878787879,0.036066818526955195,0.029595015576323987,0.17163637812698698,0.6
6,0.2441860465116279,0.039562923888470235,0.03271028037383177,0.18028434150742648,0.7
7,0.27848101265822783,0.04155647903286739,0.03426791277258567,0.18459950484284154,0.8
8,0.25510204081632654,0.0468867216804201,0.03894080996884735,0.19662892264687068,0.9
9,0.25252525252525254,0.046869141357330335,0.03894080996884735,0.19661924293028982,1.0
