,Precision,F2 Score,Recall,G-mean,Minority Weight
0,0.35443037974683544,0.10271460014673515,0.08722741433021806,0.29386680345967275,1
1,0.2602739726027397,0.13286713286713286,0.11838006230529595,0.34041231165775326,2
2,0.21,0.14150943396226415,0.1308411214953271,0.35608917333312823,3
3,0.2191780821917808,0.15968063872255486,0.14953271028037382,0.3801758402714888,4
4,0.19921875,0.16558441558441556,0.1588785046728972,0.390526490739728,5
5,0.1890909090909091,0.1667735728030789,0.16199376947040497,0.39361311526193027,6
6,0.18991097922848665,0.1974090067859346,0.19937694704049844,0.43443723837851406,7
7,0.17615176151761516,0.1966122202056866,0.20249221183800623,0.4364143490953458,8
8,0.1774193548387097,0.19927536231884058,0.205607476635514,0.4396671528622526,9
9,0.16876574307304787,0.19928613920285543,0.2087227414330218,0.4418786689972286,10
