,Precision,F2 Score,Recall,G-mean,Sampling Size
0,0.20833333333333334,0.0191131498470948,0.01557632398753894,0.12457313000623388,0.1
1,0.1804733727810651,0.1049552649690296,0.09501557632398754,0.30404410583744507,0.2
2,0.1569767441860465,0.1969078179696616,0.2102803738317757,0.4420156171379518,0.3
3,0.14750692520775624,0.2654536390827517,0.3317757009345794,0.5402336061728681,0.4
4,0.13530864197530865,0.29827999129109517,0.42679127725856697,0.5947607057910093,0.5
5,0.13360995850622406,0.32342306147047006,0.5015576323987538,0.6318124128438158,0.6
6,0.1306354277600284,0.34168987929433614,0.573208722741433,0.6602923810778017,0.7
7,0.12707535121328226,0.34912280701754395,0.6199376947040498,0.6739861840537701,0.8
8,0.12914691943127962,0.36675639300134594,0.6791277258566978,0.6956674412439987,0.9
9,0.12703766160764474,0.36891936010447274,0.7040498442367601,0.7002060226314069,1.0
